LINK,PONTUAÇÃO
https://unionmangas.top/pagina-manga/demonlord’s-pet-novel,45
https://unionmangas.top/pagina-manga/doupo-cangqiong-battle-through-the-heavens-novel,45
https://unionmangas.top/pagina-manga/doupo-cangqiong-novel,45
https://unionmangas.top/pagina-manga/enma-no-hanayome-to-kimetsukerareta-fukou-na-ore-no-jinsei-keikaku,45
https://unionmangas.top/pagina-manga/everyone-else-is-a-returnee,45
https://unionmangas.top/pagina-manga/genjitsushugisha-no-oukokukaizouki,45
https://unionmangas.top/pagina-manga/ikusa-x-koi,45
https://unionmangas.top/pagina-manga/immortal-swordsman-in-the-reverse-world,45
https://unionmangas.top/pagina-manga/isekai-tensei-soudouki,45
https://unionmangas.top/pagina-manga/mahou-tsukai-kurohime,45
https://unionmangas.top/pagina-manga/mai-otome-arashi,45
https://unionmangas.top/pagina-manga/martial-peak,45
https://unionmangas.top/pagina-manga/mushoku-tensei-isekai-ittara-honki-dasu,45
https://unionmangas.top/pagina-manga/nagasarete-airantou,45
https://unionmangas.top/pagina-manga/seichou-cheat-de-nandemo-dekiru-you-ni-natta-ga-mushoku-dake-wa-yamerarenai-you-desu,45
https://unionmangas.top/pagina-manga/sono-mono-nochi-ni-nariie-shinichirou,45
https://unionmangas.top/pagina-manga/starting-from-today-i-ll-work-as-a-city-lord,45
https://unionmangas.top/pagina-manga/ubau-mono-ubawareru-mono-novel,45
https://unionmangas.top/pagina-manga/chaoji-shenyi-xitong,46
https://unionmangas.top/pagina-manga/class-teni-de-ore-dake-haburaretara-doukyuu-harem-tsukuru-koto-ni-shita,47
https://unionmangas.top/pagina-manga/doupo-cangqiong,47
https://unionmangas.top/pagina-manga/exterminator,47
https://unionmangas.top/pagina-manga/infinite-apostles-and-twelve-war-girls,47
https://unionmangas.top/pagina-manga/saikyou-no-shuzoku-ga-ningen-datta-ken,47
https://unionmangas.top/pagina-manga/sword-dance-online,47
https://unionmangas.top/pagina-manga/zettai-ni-hatarakitakunai-dungeon-master-ga-damin-wo-musaboru-made,47
https://unionmangas.top/pagina-manga/doukutsuou-kara-hajimeru-rakuen-life-bannou-no-saikutsu-skill-de-saikyou-ni-novel,48
https://unionmangas.top/pagina-manga/elf-tensei-kara-no-cheat-kenkoku-ki-novel,48
https://unionmangas.top/pagina-manga/mahou-sensei-negima-pt-br,48
https://unionmangas.top/pagina-manga/moto-saikyou-no-kenshi-wa-isekai-mahou-ni-akogareru,48
https://unionmangas.top/pagina-manga/overlord-br,48
https://unionmangas.top/pagina-manga/overlord-novel,48
https://unionmangas.top/pagina-manga/rosario-to-vampire,48
https://unionmangas.top/pagina-manga/trinity-seven-7-nin-no-masho-tsukai-comic-anthology,48
https://unionmangas.top/pagina-manga/virtual-world-the-legendary-thief-novel,48
https://unionmangas.top/pagina-manga/ankoku-kishi-monogatari-yuusha-wo-taosu-tameni-maou-ni-shoukansaremashita-novel,49
https://unionmangas.top/pagina-manga/female-cultivators-are-after-me,49
https://unionmangas.top/pagina-manga/futoku-no-guild,49
https://unionmangas.top/pagina-manga/mowang-yu-yongzhe-yu-sheng-jian-shendian,49
https://unionmangas.top/pagina-manga/ore-no-ie-ga-maryoku-spot-datta-ken-sundeiru-dake-de-sekai-saikyou,49
https://unionmangas.top/pagina-manga/other-world,49
https://unionmangas.top/pagina-manga/blade-play,50
https://unionmangas.top/pagina-manga/my-love-tiger,50
https://unionmangas.top/pagina-manga/nidome-no-jinsei-wo-isekai-de,50
https://unionmangas.top/pagina-manga/school-flower-master-manhua,50
https://unionmangas.top/pagina-manga/kaettekita-motoyuusha,51
https://unionmangas.top/pagina-manga/ore-dake-haireru-kakushi-dungeon-kossori-kitaete-sekai-saikyou,51
https://unionmangas.top/pagina-manga/survive-on-a-deserted-island-with-beautiful-girls,52
https://unionmangas.top/pagina-manga/sekai-no-owari-no-encore,54
https://unionmangas.top/pagina-manga/bringing-the-farm-to-live-in-another-world,55
